chromosome	size	compressedMref	category
chrY_KI270740v1_random	37240	TRUE	unassigned
chrUn_KI270302v1	2274	TRUE	unassigned
chrUn_KI270304v1	2165	TRUE	unassigned
chrUn_KI270303v1	1942	TRUE	unassigned
chrUn_KI270305v1	1472	TRUE	unassigned
chrUn_KI270322v1	21476	TRUE	unassigned
chrUn_KI270320v1	4416	TRUE	unassigned
chrUn_KI270310v1	1201	TRUE	unassigned
chrUn_KI270316v1	1444	TRUE	unassigned
chrUn_KI270315v1	2276	TRUE	unassigned
chrUn_KI270312v1	998	TRUE	unassigned
chrUn_KI270311v1	12399	TRUE	unassigned
chrUn_KI270317v1	37690	TRUE	unassigned
chrUn_KI270412v1	1179	TRUE	unassigned
chrUn_KI270411v1	2646	TRUE	unassigned
chrUn_KI270414v1	2489	TRUE	unassigned
chrUn_KI270419v1	1029	TRUE	unassigned
chrUn_KI270418v1	2145	TRUE	unassigned
chrUn_KI270420v1	2321	TRUE	unassigned
chrUn_KI270424v1	2140	TRUE	unassigned
chrUn_KI270417v1	2043	TRUE	unassigned
chrUn_KI270422v1	1445	TRUE	unassigned
chrUn_KI270423v1	981	TRUE	unassigned
chrUn_KI270425v1	1884	TRUE	unassigned
chrUn_KI270429v1	1361	TRUE	unassigned
chrUn_KI270442v1	392061	TRUE	unassigned
chrUn_KI270466v1	1233	TRUE	unassigned
chrUn_KI270465v1	1774	TRUE	unassigned
chrUn_KI270467v1	3920	TRUE	unassigned
chrUn_KI270435v1	92983	TRUE	unassigned
chrUn_KI270438v1	112505	TRUE	unassigned
chrUn_KI270468v1	4055	TRUE	unassigned
chrUn_KI270510v1	2415	TRUE	unassigned
chrUn_KI270509v1	2318	TRUE	unassigned
chrUn_KI270518v1	2186	TRUE	unassigned
chrUn_KI270508v1	1951	TRUE	unassigned
chrUn_KI270516v1	1300	TRUE	unassigned
chrUn_KI270512v1	22689	TRUE	unassigned
chrUn_KI270519v1	138126	TRUE	unassigned
chrUn_KI270522v1	5674	TRUE	unassigned
chrUn_KI270511v1	8127	TRUE	unassigned
chrUn_KI270515v1	6361	TRUE	unassigned
chrUn_KI270507v1	5353	TRUE	unassigned
chrUn_KI270517v1	3253	TRUE	unassigned
chrUn_KI270529v1	1899	TRUE	unassigned
chrUn_KI270528v1	2983	TRUE	unassigned
chrUn_KI270530v1	2168	TRUE	unassigned
chrUn_KI270539v1	993	TRUE	unassigned
chrUn_KI270538v1	91309	TRUE	unassigned
chrUn_KI270544v1	1202	TRUE	unassigned
chrUn_KI270548v1	1599	TRUE	unassigned
chrUn_KI270583v1	1400	TRUE	unassigned
chrUn_KI270587v1	2969	TRUE	unassigned
chrUn_KI270580v1	1553	TRUE	unassigned
chrUn_KI270581v1	7046	TRUE	unassigned
chrUn_KI270579v1	31033	TRUE	unassigned
chrUn_KI270589v1	44474	TRUE	unassigned
chrUn_KI270590v1	4685	TRUE	unassigned
chrUn_KI270584v1	4513	TRUE	unassigned
chrUn_KI270582v1	6504	TRUE	unassigned
chrUn_KI270588v1	6158	TRUE	unassigned
chrUn_KI270593v1	3041	TRUE	unassigned
chrUn_KI270591v1	5796	TRUE	unassigned
chrUn_KI270330v1	1652	TRUE	unassigned
chrUn_KI270329v1	1040	TRUE	unassigned
chrUn_KI270334v1	1368	TRUE	unassigned
chrUn_KI270333v1	2699	TRUE	unassigned
chrUn_KI270335v1	1048	TRUE	unassigned
chrUn_KI270338v1	1428	TRUE	unassigned
chrUn_KI270340v1	1428	TRUE	unassigned
chrUn_KI270336v1	1026	TRUE	unassigned
chrUn_KI270337v1	1121	TRUE	unassigned
chrUn_KI270363v1	1803	TRUE	unassigned
chrUn_KI270364v1	2855	TRUE	unassigned
chrUn_KI270362v1	3530	TRUE	unassigned
chrUn_KI270366v1	8320	TRUE	unassigned
chrUn_KI270378v1	1048	TRUE	unassigned
chrUn_KI270379v1	1045	TRUE	unassigned
chrUn_KI270389v1	1298	TRUE	unassigned
chrUn_KI270390v1	2387	TRUE	unassigned
chrUn_KI270387v1	1537	TRUE	unassigned
chrUn_KI270395v1	1143	TRUE	unassigned
chrUn_KI270396v1	1880	TRUE	unassigned
chrUn_KI270388v1	1216	TRUE	unassigned
chrUn_KI270394v1	970	TRUE	unassigned
chrUn_KI270386v1	1788	TRUE	unassigned
chrUn_KI270391v1	1484	TRUE	unassigned
chrUn_KI270383v1	1750	TRUE	unassigned
chrUn_KI270393v1	1308	TRUE	unassigned
chrUn_KI270384v1	1658	TRUE	unassigned
chrUn_KI270392v1	971	TRUE	unassigned
chrUn_KI270381v1	1930	TRUE	unassigned
chrUn_KI270385v1	990	TRUE	unassigned
chrUn_KI270382v1	4215	TRUE	unassigned
chrUn_KI270376v1	1136	TRUE	unassigned
chrUn_KI270374v1	2656	TRUE	unassigned
chrUn_KI270372v1	1650	TRUE	unassigned
chrUn_KI270373v1	1451	TRUE	unassigned
chrUn_KI270375v1	2378	TRUE	unassigned
chrUn_KI270371v1	2805	TRUE	unassigned
chrUn_KI270448v1	7992	TRUE	unassigned
chrUn_KI270521v1	7642	TRUE	unassigned
chrUn_GL000195v1	182896	TRUE	unassigned
chrUn_GL000219v1	179198	TRUE	unassigned
chrUn_GL000220v1	161802	TRUE	unassigned
chrUn_GL000224v1	179693	TRUE	unassigned
chrUn_KI270741v1	157432	TRUE	unassigned
chrUn_GL000226v1	15008	TRUE	unassigned
chrUn_GL000213v1	164239	TRUE	unassigned
chrUn_KI270743v1	210658	TRUE	unassigned
chrUn_KI270744v1	168472	TRUE	unassigned
chrUn_KI270745v1	41891	TRUE	unassigned
chrUn_KI270746v1	66486	TRUE	unassigned
chrUn_KI270747v1	198735	TRUE	unassigned
chrUn_KI270748v1	93321	TRUE	unassigned
chrUn_KI270749v1	158759	TRUE	unassigned
chrUn_KI270750v1	148850	TRUE	unassigned
chrUn_KI270751v1	150742	TRUE	unassigned
chrUn_KI270752v1	27745	TRUE	unassigned
chrUn_KI270753v1	62944	TRUE	unassigned
chrUn_KI270754v1	40191	TRUE	unassigned
chrUn_KI270755v1	36723	TRUE	unassigned
chrUn_KI270756v1	79590	TRUE	unassigned
chrUn_KI270757v1	71251	TRUE	unassigned
chrUn_GL000214v1	137718	TRUE	unassigned
chrUn_KI270742v1	186739	TRUE	unassigned
chrUn_GL000216v2	176608	TRUE	unassigned
chrUn_GL000218v1	161147	TRUE	unassigned
chr1_KI270762v1_alt	354444	TRUE	alt
chr1_KI270766v1_alt	256271	TRUE	alt
chr1_KI270760v1_alt	109528	TRUE	alt
chr1_KI270765v1_alt	185285	TRUE	alt
chr1_GL383518v1_alt	182439	TRUE	alt
chr1_GL383519v1_alt	110268	TRUE	alt
chr1_GL383520v2_alt	366580	TRUE	alt
chr1_KI270764v1_alt	50258	TRUE	alt
chr1_KI270763v1_alt	911658	TRUE	alt
chr1_KI270759v1_alt	425601	TRUE	alt
chr1_KI270761v1_alt	165834	TRUE	alt
chr2_KI270770v1_alt	136240	TRUE	alt
chr2_KI270773v1_alt	70887	TRUE	alt
chr2_KI270774v1_alt	223625	TRUE	alt
chr2_KI270769v1_alt	120616	TRUE	alt
chr2_GL383521v1_alt	143390	TRUE	alt
chr2_KI270772v1_alt	133041	TRUE	alt
chr2_KI270775v1_alt	138019	TRUE	alt
chr2_KI270771v1_alt	110395	TRUE	alt
chr2_KI270768v1_alt	110099	TRUE	alt
chr2_GL582966v2_alt	96131	TRUE	alt
chr2_GL383522v1_alt	123821	TRUE	alt
chr2_KI270776v1_alt	174166	TRUE	alt
chr2_KI270767v1_alt	161578	TRUE	alt
chr3_JH636055v2_alt	173151	TRUE	alt
chr3_KI270783v1_alt	109187	TRUE	alt
chr3_KI270780v1_alt	224108	TRUE	alt
chr3_GL383526v1_alt	180671	TRUE	alt
chr3_KI270777v1_alt	173649	TRUE	alt
chr3_KI270778v1_alt	248252	TRUE	alt
chr3_KI270781v1_alt	113034	TRUE	alt
chr3_KI270779v1_alt	205312	TRUE	alt
chr3_KI270782v1_alt	162429	TRUE	alt
chr3_KI270784v1_alt	184404	TRUE	alt
chr4_KI270790v1_alt	220246	TRUE	alt
chr4_GL383528v1_alt	376187	TRUE	alt
chr4_KI270787v1_alt	111943	TRUE	alt
chr4_GL000257v2_alt	586476	TRUE	alt
chr4_KI270788v1_alt	158965	TRUE	alt
chr4_GL383527v1_alt	164536	TRUE	alt
chr4_KI270785v1_alt	119912	TRUE	alt
chr4_KI270789v1_alt	205944	TRUE	alt
chr4_KI270786v1_alt	244096	TRUE	alt
chr5_KI270793v1_alt	126136	TRUE	alt
chr5_KI270792v1_alt	179043	TRUE	alt
chr5_KI270791v1_alt	195710	TRUE	alt
chr5_GL383532v1_alt	82728	TRUE	alt
chr5_GL949742v1_alt	226852	TRUE	alt
chr5_KI270794v1_alt	164558	TRUE	alt
chr5_GL339449v2_alt	1612928	TRUE	alt
chr5_GL383530v1_alt	101241	TRUE	alt
chr5_KI270796v1_alt	172708	TRUE	alt
chr5_GL383531v1_alt	173459	TRUE	alt
chr5_KI270795v1_alt	131892	TRUE	alt
chr6_GL000250v2_alt	4672374	TRUE	alt
chr6_KI270800v1_alt	175808	TRUE	alt
chr6_KI270799v1_alt	152148	TRUE	alt
chr6_GL383533v1_alt	124736	TRUE	alt
chr6_KI270801v1_alt	870480	TRUE	alt
chr6_KI270802v1_alt	75005	TRUE	alt
chr6_KB021644v2_alt	185823	TRUE	alt
chr6_KI270797v1_alt	197536	TRUE	alt
chr6_KI270798v1_alt	271782	TRUE	alt
chr7_KI270804v1_alt	157952	TRUE	alt
chr7_KI270809v1_alt	209586	TRUE	alt
chr7_KI270806v1_alt	158166	TRUE	alt
chr7_GL383534v2_alt	119183	TRUE	alt
chr7_KI270803v1_alt	1111570	TRUE	alt
chr7_KI270808v1_alt	271455	TRUE	alt
chr7_KI270807v1_alt	126434	TRUE	alt
chr7_KI270805v1_alt	209988	TRUE	alt
chr8_KI270818v1_alt	145606	TRUE	alt
chr8_KI270812v1_alt	282736	TRUE	alt
chr8_KI270811v1_alt	292436	TRUE	alt
chr8_KI270821v1_alt	985506	TRUE	alt
chr8_KI270813v1_alt	300230	TRUE	alt
chr8_KI270822v1_alt	624492	TRUE	alt
chr8_KI270814v1_alt	141812	TRUE	alt
chr8_KI270810v1_alt	374415	TRUE	alt
chr8_KI270819v1_alt	133535	TRUE	alt
chr8_KI270820v1_alt	36640	TRUE	alt
chr8_KI270817v1_alt	158983	TRUE	alt
chr8_KI270816v1_alt	305841	TRUE	alt
chr8_KI270815v1_alt	132244	TRUE	alt
chr9_GL383539v1_alt	162988	TRUE	alt
chr9_GL383540v1_alt	71551	TRUE	alt
chr9_GL383541v1_alt	171286	TRUE	alt
chr9_GL383542v1_alt	60032	TRUE	alt
chr9_KI270823v1_alt	439082	TRUE	alt
chr10_GL383545v1_alt	179254	TRUE	alt
chr10_KI270824v1_alt	181496	TRUE	alt
chr10_GL383546v1_alt	309802	TRUE	alt
chr10_KI270825v1_alt	188315	TRUE	alt
chr11_KI270832v1_alt	210133	TRUE	alt
chr11_KI270830v1_alt	177092	TRUE	alt
chr11_KI270831v1_alt	296895	TRUE	alt
chr11_KI270829v1_alt	204059	TRUE	alt
chr11_GL383547v1_alt	154407	TRUE	alt
chr11_JH159136v1_alt	200998	TRUE	alt
chr11_JH159137v1_alt	191409	TRUE	alt
chr11_KI270827v1_alt	67707	TRUE	alt
chr11_KI270826v1_alt	186169	TRUE	alt
chr12_GL877875v1_alt	167313	TRUE	alt
chr12_GL877876v1_alt	408271	TRUE	alt
chr12_KI270837v1_alt	40090	TRUE	alt
chr12_GL383549v1_alt	120804	TRUE	alt
chr12_KI270835v1_alt	238139	TRUE	alt
chr12_GL383550v2_alt	169178	TRUE	alt
chr12_GL383552v1_alt	138655	TRUE	alt
chr12_GL383553v2_alt	152874	TRUE	alt
chr12_KI270834v1_alt	119498	TRUE	alt
chr12_GL383551v1_alt	184319	TRUE	alt
chr12_KI270833v1_alt	76061	TRUE	alt
chr12_KI270836v1_alt	56134	TRUE	alt
chr13_KI270840v1_alt	191684	TRUE	alt
chr13_KI270839v1_alt	180306	TRUE	alt
chr13_KI270843v1_alt	103832	TRUE	alt
chr13_KI270841v1_alt	169134	TRUE	alt
chr13_KI270838v1_alt	306913	TRUE	alt
chr13_KI270842v1_alt	37287	TRUE	alt
chr14_KI270844v1_alt	322166	TRUE	alt
chr14_KI270847v1_alt	1511111	TRUE	alt
chr14_KI270845v1_alt	180703	TRUE	alt
chr14_KI270846v1_alt	1351393	TRUE	alt
chr15_KI270852v1_alt	478999	TRUE	alt
chr15_KI270851v1_alt	263054	TRUE	alt
chr15_KI270848v1_alt	327382	TRUE	alt
chr15_GL383554v1_alt	296527	TRUE	alt
chr15_KI270849v1_alt	244917	TRUE	alt
chr15_GL383555v2_alt	388773	TRUE	alt
chr15_KI270850v1_alt	430880	TRUE	alt
chr16_KI270854v1_alt	134193	TRUE	alt
chr16_KI270856v1_alt	63982	TRUE	alt
chr16_KI270855v1_alt	232857	TRUE	alt
chr16_KI270853v1_alt	2659700	TRUE	alt
chr16_GL383556v1_alt	192462	TRUE	alt
chr16_GL383557v1_alt	89672	TRUE	alt
chr17_GL383563v3_alt	375691	TRUE	alt
chr17_KI270862v1_alt	391357	TRUE	alt
chr17_KI270861v1_alt	196688	TRUE	alt
chr17_KI270857v1_alt	2877074	TRUE	alt
chr17_JH159146v1_alt	278131	TRUE	alt
chr17_JH159147v1_alt	70345	TRUE	alt
chr17_GL383564v2_alt	133151	TRUE	alt
chr17_GL000258v2_alt	1821992	TRUE	alt
chr17_GL383565v1_alt	223995	TRUE	alt
chr17_KI270858v1_alt	235827	TRUE	alt
chr17_KI270859v1_alt	108763	TRUE	alt
chr17_GL383566v1_alt	90219	TRUE	alt
chr17_KI270860v1_alt	178921	TRUE	alt
chr18_KI270864v1_alt	111737	TRUE	alt
chr18_GL383567v1_alt	289831	TRUE	alt
chr18_GL383570v1_alt	164789	TRUE	alt
chr18_GL383571v1_alt	198278	TRUE	alt
chr18_GL383568v1_alt	104552	TRUE	alt
chr18_GL383569v1_alt	167950	TRUE	alt
chr18_GL383572v1_alt	159547	TRUE	alt
chr18_KI270863v1_alt	167999	TRUE	alt
chr19_KI270868v1_alt	61734	TRUE	alt
chr19_KI270865v1_alt	52969	TRUE	alt
chr19_GL383573v1_alt	385657	TRUE	alt
chr19_GL383575v2_alt	170222	TRUE	alt
chr19_GL383576v1_alt	188024	TRUE	alt
chr19_GL383574v1_alt	155864	TRUE	alt
chr19_KI270866v1_alt	43156	TRUE	alt
chr19_KI270867v1_alt	233762	TRUE	alt
chr19_GL949746v1_alt	987716	TRUE	alt
chr20_GL383577v2_alt	128386	TRUE	alt
chr20_KI270869v1_alt	118774	TRUE	alt
chr20_KI270871v1_alt	58661	TRUE	alt
chr20_KI270870v1_alt	183433	TRUE	alt
chr21_GL383578v2_alt	63917	TRUE	alt
chr21_KI270874v1_alt	166743	TRUE	alt
chr21_KI270873v1_alt	143900	TRUE	alt
chr21_GL383579v2_alt	201197	TRUE	alt
chr21_GL383580v2_alt	74653	TRUE	alt
chr21_GL383581v2_alt	116689	TRUE	alt
chr21_KI270872v1_alt	82692	TRUE	alt
chr22_KI270875v1_alt	259914	TRUE	alt
chr22_KI270878v1_alt	186262	TRUE	alt
chr22_KI270879v1_alt	304135	TRUE	alt
chr22_KI270876v1_alt	263666	TRUE	alt
chr22_KI270877v1_alt	101331	TRUE	alt
chr22_GL383583v2_alt	96924	TRUE	alt
chr22_GL383582v2_alt	162811	TRUE	alt
chrX_KI270880v1_alt	284869	TRUE	alt
chrX_KI270881v1_alt	144206	TRUE	alt
chr19_KI270882v1_alt	248807	TRUE	alt
chr19_KI270883v1_alt	170399	TRUE	alt
chr19_KI270884v1_alt	157053	TRUE	alt
chr19_KI270885v1_alt	171027	TRUE	alt
chr19_KI270886v1_alt	204239	TRUE	alt
chr19_KI270887v1_alt	209512	TRUE	alt
chr19_KI270888v1_alt	155532	TRUE	alt
chr19_KI270889v1_alt	170698	TRUE	alt
chr19_KI270890v1_alt	184499	TRUE	alt
chr19_KI270891v1_alt	170680	TRUE	alt
chr1_KI270892v1_alt	162212	TRUE	alt
chr2_KI270894v1_alt	214158	TRUE	alt
chr2_KI270893v1_alt	161218	TRUE	alt
chr3_KI270895v1_alt	162896	TRUE	alt
chr4_KI270896v1_alt	378547	TRUE	alt
chr5_KI270897v1_alt	1144418	TRUE	alt
chr5_KI270898v1_alt	130957	TRUE	alt
chr6_GL000251v2_alt	4795265	TRUE	alt
chr7_KI270899v1_alt	190869	TRUE	alt
chr8_KI270901v1_alt	136959	TRUE	alt
chr8_KI270900v1_alt	318687	TRUE	alt
chr11_KI270902v1_alt	106711	TRUE	alt
chr11_KI270903v1_alt	214625	TRUE	alt
chr12_KI270904v1_alt	572349	TRUE	alt
chr15_KI270906v1_alt	196384	TRUE	alt
chr15_KI270905v1_alt	5161414	TRUE	alt
chr17_KI270907v1_alt	137721	TRUE	alt
chr17_KI270910v1_alt	157099	TRUE	alt
chr17_KI270909v1_alt	325800	TRUE	alt
chr17_JH159148v1_alt	88070	TRUE	alt
chr17_KI270908v1_alt	1423190	TRUE	alt
chr18_KI270912v1_alt	174061	TRUE	alt
chr18_KI270911v1_alt	157710	TRUE	alt
chr19_GL949747v2_alt	729520	TRUE	alt
chr22_KB663609v1_alt	74013	TRUE	alt
chrX_KI270913v1_alt	274009	TRUE	alt
chr19_KI270914v1_alt	205194	TRUE	alt
chr19_KI270915v1_alt	170665	TRUE	alt
chr19_KI270916v1_alt	184516	TRUE	alt
chr19_KI270917v1_alt	190932	TRUE	alt
chr19_KI270918v1_alt	123111	TRUE	alt
chr19_KI270919v1_alt	170701	TRUE	alt
chr19_KI270920v1_alt	198005	TRUE	alt
chr19_KI270921v1_alt	282224	TRUE	alt
chr19_KI270922v1_alt	187935	TRUE	alt
chr19_KI270923v1_alt	189352	TRUE	alt
chr3_KI270924v1_alt	166540	TRUE	alt
chr4_KI270925v1_alt	555799	TRUE	alt
chr6_GL000252v2_alt	4604811	TRUE	alt
chr8_KI270926v1_alt	229282	TRUE	alt
chr11_KI270927v1_alt	218612	TRUE	alt
chr19_GL949748v2_alt	1064304	TRUE	alt
chr22_KI270928v1_alt	176103	TRUE	alt
chr19_KI270929v1_alt	186203	TRUE	alt
chr19_KI270930v1_alt	200773	TRUE	alt
chr19_KI270931v1_alt	170148	TRUE	alt
chr19_KI270932v1_alt	215732	TRUE	alt
chr19_KI270933v1_alt	170537	TRUE	alt
chr19_GL000209v2_alt	177381	TRUE	alt
chr3_KI270934v1_alt	163458	TRUE	alt
chr6_GL000253v2_alt	4677643	TRUE	alt
chr19_GL949749v2_alt	1091841	TRUE	alt
chr3_KI270935v1_alt	197351	TRUE	alt
chr6_GL000254v2_alt	4827813	TRUE	alt
chr19_GL949750v2_alt	1066390	TRUE	alt
chr3_KI270936v1_alt	164170	TRUE	alt
chr6_GL000255v2_alt	4606388	TRUE	alt
chr19_GL949751v2_alt	1002683	TRUE	alt
chr3_KI270937v1_alt	165607	TRUE	alt
chr6_GL000256v2_alt	4929269	TRUE	alt
chr19_GL949752v1_alt	987100	TRUE	alt
chr6_KI270758v1_alt	76752	TRUE	alt
chr19_GL949753v2_alt	796479	TRUE	alt
chr19_KI270938v1_alt	1066800	TRUE	alt
chrEBV	171823	TRUE	virus
chrUn_KN707606v1_decoy	2200	TRUE	decoy
chrUn_KN707607v1_decoy	3033	TRUE	decoy
chrUn_KN707608v1_decoy	3112	TRUE	decoy
chrUn_KN707609v1_decoy	1642	TRUE	decoy
chrUn_KN707610v1_decoy	1393	TRUE	decoy
chrUn_KN707611v1_decoy	1103	TRUE	decoy
chrUn_KN707612v1_decoy	1039	TRUE	decoy
chrUn_KN707613v1_decoy	1619	TRUE	decoy
chrUn_KN707614v1_decoy	3122	TRUE	decoy
chrUn_KN707615v1_decoy	1934	TRUE	decoy
chrUn_KN707616v1_decoy	3111	TRUE	decoy
chrUn_KN707617v1_decoy	2545	TRUE	decoy
chrUn_KN707618v1_decoy	2295	TRUE	decoy
chrUn_KN707619v1_decoy	1551	TRUE	decoy
chrUn_KN707620v1_decoy	2046	TRUE	decoy
chrUn_KN707621v1_decoy	1222	TRUE	decoy
chrUn_KN707622v1_decoy	1535	TRUE	decoy
chrUn_KN707623v1_decoy	3784	TRUE	decoy
chrUn_KN707624v1_decoy	1329	TRUE	decoy
chrUn_KN707625v1_decoy	1238	TRUE	decoy
chrUn_KN707626v1_decoy	5623	TRUE	decoy
chrUn_KN707627v1_decoy	5821	TRUE	decoy
chrUn_KN707628v1_decoy	2960	TRUE	decoy
chrUn_KN707629v1_decoy	1848	TRUE	decoy
chrUn_KN707630v1_decoy	2315	TRUE	decoy
chrUn_KN707631v1_decoy	1945	TRUE	decoy
chrUn_KN707632v1_decoy	1424	TRUE	decoy
chrUn_KN707633v1_decoy	1274	TRUE	decoy
chrUn_KN707634v1_decoy	1007	TRUE	decoy
chrUn_KN707635v1_decoy	1414	TRUE	decoy
chrUn_KN707636v1_decoy	1725	TRUE	decoy
chrUn_KN707637v1_decoy	5354	TRUE	decoy
chrUn_KN707638v1_decoy	2189	TRUE	decoy
chrUn_KN707639v1_decoy	1294	TRUE	decoy
chrUn_KN707640v1_decoy	1831	TRUE	decoy
chrUn_KN707641v1_decoy	1647	TRUE	decoy
chrUn_KN707642v1_decoy	2943	TRUE	decoy
chrUn_KN707643v1_decoy	2857	TRUE	decoy
chrUn_KN707644v1_decoy	1030	TRUE	decoy
chrUn_KN707645v1_decoy	1070	TRUE	decoy
chrUn_KN707646v1_decoy	1735	TRUE	decoy
chrUn_KN707647v1_decoy	1982	TRUE	decoy
chrUn_KN707648v1_decoy	1564	TRUE	decoy
chrUn_KN707649v1_decoy	1775	TRUE	decoy
chrUn_KN707650v1_decoy	1540	TRUE	decoy
chrUn_KN707651v1_decoy	2013	TRUE	decoy
chrUn_KN707652v1_decoy	1176	TRUE	decoy
chrUn_KN707653v1_decoy	1890	TRUE	decoy
chrUn_KN707654v1_decoy	3644	TRUE	decoy
chrUn_KN707655v1_decoy	2785	TRUE	decoy
chrUn_KN707656v1_decoy	1017	TRUE	decoy
chrUn_KN707657v1_decoy	1068	TRUE	decoy
chrUn_KN707658v1_decoy	1007	TRUE	decoy
chrUn_KN707659v1_decoy	2605	TRUE	decoy
chrUn_KN707660v1_decoy	8410	TRUE	decoy
chrUn_KN707661v1_decoy	5534	TRUE	decoy
chrUn_KN707662v1_decoy	2173	TRUE	decoy
chrUn_KN707663v1_decoy	1065	TRUE	decoy
chrUn_KN707664v1_decoy	8683	TRUE	decoy
chrUn_KN707665v1_decoy	2670	TRUE	decoy
chrUn_KN707666v1_decoy	2420	TRUE	decoy
chrUn_KN707667v1_decoy	2189	TRUE	decoy
chrUn_KN707668v1_decoy	2093	TRUE	decoy
chrUn_KN707669v1_decoy	1184	TRUE	decoy
chrUn_KN707670v1_decoy	1205	TRUE	decoy
chrUn_KN707671v1_decoy	2786	TRUE	decoy
chrUn_KN707672v1_decoy	2794	TRUE	decoy
chrUn_KN707673v1_decoy	19544	TRUE	decoy
chrUn_KN707674v1_decoy	2848	TRUE	decoy
chrUn_KN707675v1_decoy	10556	TRUE	decoy
chrUn_KN707676v1_decoy	9066	TRUE	decoy
chrUn_KN707677v1_decoy	7267	TRUE	decoy
chrUn_KN707678v1_decoy	2462	TRUE	decoy
chrUn_KN707679v1_decoy	1774	TRUE	decoy
chrUn_KN707680v1_decoy	1297	TRUE	decoy
chrUn_KN707681v1_decoy	4379	TRUE	decoy
chrUn_KN707682v1_decoy	4208	TRUE	decoy
chrUn_KN707683v1_decoy	4068	TRUE	decoy
chrUn_KN707684v1_decoy	2940	TRUE	decoy
chrUn_KN707685v1_decoy	3938	TRUE	decoy
chrUn_KN707686v1_decoy	2072	TRUE	decoy
chrUn_KN707687v1_decoy	1136	TRUE	decoy
chrUn_KN707688v1_decoy	4248	TRUE	decoy
chrUn_KN707689v1_decoy	5823	TRUE	decoy
chrUn_KN707690v1_decoy	3715	TRUE	decoy
chrUn_KN707691v1_decoy	4885	TRUE	decoy
chrUn_KN707692v1_decoy	4813	TRUE	decoy
chrUn_KN707693v1_decoy	2899	TRUE	decoy
chrUn_KN707694v1_decoy	1228	TRUE	decoy
chrUn_KN707695v1_decoy	3119	TRUE	decoy
chrUn_KN707696v1_decoy	3828	TRUE	decoy
chrUn_KN707697v1_decoy	1186	TRUE	decoy
chrUn_KN707698v1_decoy	1908	TRUE	decoy
chrUn_KN707699v1_decoy	2795	TRUE	decoy
chrUn_KN707700v1_decoy	3703	TRUE	decoy
chrUn_KN707701v1_decoy	6722	TRUE	decoy
